,title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
210,Disney Bolt,Bundle info,,,,,(66 reviews),Avalanche Software,Disney,Mostly Positive,,"TITLE: Disney Bolt
GENRE: Action, Adventure
DEVELOPER: Avalanche Software
PUBLISHER: Disney
RELEASE DATE: 18 Nov, 2008","18 Nov, 2008",Action Adventure Female Protagonist Stealth +,
211,Toto Temple Deluxe,Bundle info,,,,,(20 reviews),Juicy Beast,Juicy Beast,Positive,,"TITLE: Toto Temple Deluxe
GENRE: Action, Casual, Indie
DEVELOPER: Juicy Beast
PUBLISHER: Juicy Beast
RELEASE DATE: 29 Sep, 2015","29 Sep, 2015",Action Indie Casual 4 Player Local +,
212,The Uninvited: MacVenture Series,Package info,,,,,(45 reviews),Zojoi,Reverb Triple XP,Positive,,"TITLE: The Uninvited: MacVenture Series
GENRE: Adventure, Indie
DEVELOPER: Zojoi
PUBLISHER: Reverb Triple XP
RELEASE DATE: 26 Jan, 2015","26 Jan, 2015",Adventure Indie Point & Click Horror Mystery +,
213,Light of Altair,,,,,,(32 reviews),SaintXi,SaintXi,Positive,,"TITLE: Light of Altair
GENRE: Indie, Simulation, Strategy
DEVELOPER: SaintXi
PUBLISHER: SaintXi
RELEASE DATE: 4 Jun, 2009","4 Jun, 2009",Strategy Indie Simulation Space Sci-fi +,
214,Disney High School Musical 3: Senior Year Dance,,,,,,(30 reviews),Page 44 Studios,Disney,Positive,,"TITLE: Disney High School Musical 3: Senior Year Dance
GENRE: Adventure
DEVELOPER: Page 44 Studios
PUBLISHER: Disney
RELEASE DATE: 28 Oct, 2008","28 Oct, 2008",Adventure Family Friendly Shooter Illuminati +,
215,Garden Rescue,Bundle info,,,,,(23 reviews),Rainbow Games,Rainbow Games,Positive,,"TITLE: Garden Rescue
GENRE: Casual, Strategy
DEVELOPER: Rainbow Games
PUBLISHER: Rainbow Games
RELEASE DATE: 2 Feb, 2015","2 Feb, 2015",Strategy Casual Tower Defense +,
216,Massive Assault,,,,,,(19 reviews),Wargaming.net,Matrix Games/GMX Media,Positive,,"TITLE: Massive Assault
GENRE: Strategy
DEVELOPER: Wargaming.net
PUBLISHER: Matrix Games/GMX Media
RELEASE DATE: 28 Oct, 2003","28 Oct, 2003",Strategy Turn-Based Turn-Based Strategy +,
217,Legends of Atlantis: Exodus,,,,,,(38 reviews),Alder Games,Legacy Games,Positive,,"TITLE: Legends of Atlantis: Exodus
GENRE: Casual, Strategy
DEVELOPER: Alder Games
PUBLISHER: Legacy Games
RELEASE DATE: 9 Apr, 2012","9 Apr, 2012",Casual Strategy Building Time Management +,
218,Terraform,,,,,,(31 reviews),Holgersson Entertainment,Holgersson Entertainment,Positive,,"TITLE: Terraform
GENRE: Indie, Simulation, Strategy
DEVELOPER: Holgersson Entertainment
PUBLISHER: Holgersson Entertainment
RELEASE DATE: 8 May, 2015","8 May, 2015",Indie Strategy Simulation Puzzle Turn-Based +,
219,Edolie,Bundle info,,,,,(18 reviews),Eridani Games,Degica,Positive,,"TITLE: Edolie
GENRE: Indie, RPG
DEVELOPER: Eridani Games
PUBLISHER: Degica
RELEASE DATE: 15 Aug, 2014","15 Aug, 2014",RPG Indie RPGMaker Female Protagonist +,
220,ARMED SEVEN,Bundle info,,,,,(43 reviews),ASTRO PORT,Henteko Doujin,Positive,,"TITLE: ARMED SEVEN
GENRE: Action, Indie
DEVELOPER: ASTRO PORT
PUBLISHER: Henteko Doujin
FRANCHISE: Astro Saga, Henteko Doujin
RELEASE DATE: 6 Mar, 2015","6 Mar, 2015",Action Indie Shoot 'Em Up Shooter Mechs +,
221,Fair Strike,,,,,,(45 reviews),G5 Software,Buka Entertainment,Mostly Positive,,"TITLE: Fair Strike
GENRE: Action, Simulation
DEVELOPER: G5 Software
PUBLISHER: Buka Entertainment
FRANCHISE: Buka Entertainment
RELEASE DATE: 5 Feb, 2004","5 Feb, 2004",Action Simulation +,
222,ENIGMA : An Illusion Named Family,,,,,,(23 reviews),AV media lab,AV media lab,Positive,,"TITLE: ENIGMA : An Illusion Named Family
GENRE: Adventure, Indie, RPG
DEVELOPER: AV media lab
PUBLISHER: AV media lab
RELEASE DATE: 16 Mar, 2015","16 Mar, 2015",Indie RPG Adventure Horror RPGMaker +,
223,FutureGrind,,,,,,(45 reviews),Milkbag Games,Milkbag Games,Positive,,"TITLE: FutureGrind
GENRE: Action, Indie, Racing, Sports
DEVELOPER: Milkbag Games
PUBLISHER: Milkbag Games
RELEASE DATE: 22 Jan, 2019","22 Jan, 2019",Racing Physics Competitive Sports Difficult +,
224,Cuban Missile Crisis,Package info,,,,,(158 reviews),G5 Software,1C Entertainment,Mostly Positive,,"TITLE: Cuban Missile Crisis
GENRE: Strategy
DEVELOPER: G5 Software
PUBLISHER: 1C Entertainment
FRANCHISE: 1C
RELEASE DATE: 6 May, 2005","6 May, 2005",Strategy RTS Cold War +,
225,Realms of Chaos,,,,,,(17 reviews),3D Realms (Apogee Software),3D Realms (Apogee Software),Positive,,"TITLE: Realms of Chaos
GENRE: Action, Adventure
DEVELOPER: 3D Realms (Apogee Software)
PUBLISHER: 3D Realms (Apogee Software)
RELEASE DATE: 11 Nov, 1995","11 Nov, 1995",Action Adventure Platformer Classic 1990's +,
226,Dual Souls: The Last Bearer,Bundle info,,,,,(19 reviews),Stun Games,Stun Games,Positive,,"TITLE: Dual Souls: The Last Bearer
GENRE: Action, Indie
DEVELOPER: Stun Games
PUBLISHER: Stun Games
RELEASE DATE: 19 Oct, 2021
EARLY ACCESS RELEASE DATE: 3 Nov, 2017","19 Oct, 2021",Action Indie 2D Fighter Fighting Anime +,17.0
227,Queen At Arms,,,,,,(14 reviews),Aqualuft Games,Aqualuft Games,Positive,,"TITLE: Queen At Arms
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: Aqualuft Games
PUBLISHER: Aqualuft Games
RELEASE DATE: 3 Feb, 2016","3 Feb, 2016",Adventure Indie Casual RPG Visual Novel +,
228,Starchaser: Priestess of the Night Sky,Bundle info,,,,,(37 reviews),Nonlinear,PLAYISM,Positive,,"TITLE: Starchaser: Priestess of the Night Sky
GENRE: Action, Indie
DEVELOPER: Nonlinear
PUBLISHER: PLAYISM
FRANCHISE: PLAYISM
RELEASE DATE: 24 Jul, 2015","24 Jul, 2015",Action Indie Anime Cute Physics Magic +,
229,TWINKLE STAR SPRITES,Bundle info,,,,,(100 reviews),SNK CORPORATION,SNK CORPORATION,Mostly Positive,,"TITLE: TWINKLE STAR SPRITES
GENRE: Action
DEVELOPER: SNK CORPORATION, Dotemu
PUBLISHER: SNK CORPORATION
RELEASE DATE: 26 May, 2016","26 May, 2016",Action Shoot 'Em Up Arcade Anime Cute +,
230,Ruler by Default,,,,,,(17 reviews),Pistachi Studio,Pistachi Studio,Positive,,"TITLE: Ruler by Default
GENRE: Casual, Indie, Simulation
DEVELOPER: Pistachi Studio
PUBLISHER: Pistachi Studio
RELEASE DATE: 3 May, 2018","3 May, 2018",Indie Casual Simulation Dating Sim Anime +,
231,Tanzia,,,,,,(23 reviews),Arcanity Inc,Arcanity Inc,Positive,,"TITLE: Tanzia
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Arcanity Inc
PUBLISHER: Arcanity Inc
RELEASE DATE: 28 Mar, 2019","28 Mar, 2019",RPG Action Indie Adventure +,
232,FIRMA,"12,99€",,,,,(10 reviews),Think Heavy Ltd.,Think Heavy Ltd.,Positive,,"TITLE: FIRMA
GENRE: Action, Adventure, Indie, Simulation
DEVELOPER: Think Heavy Ltd.
PUBLISHER: Think Heavy Ltd.
RELEASE DATE: 18 Nov, 2016","18 Nov, 2016",Action Adventure Indie Simulation VR +,
233,8-Bit Adventures 1: The Forgotten Journey Remastered Edition,"11,99€",,,,,(32 reviews),Critical Games,Critical Games,Positive,,"TITLE: 8-Bit Adventures 1: The Forgotten Journey Remastered Edition
GENRE: Adventure, Indie, RPG
DEVELOPER: Critical Games
PUBLISHER: Critical Games
FRANCHISE: 8-Bit Adventures
RELEASE DATE: 31 Mar, 2015","31 Mar, 2015",RPG Adventure Indie RPGMaker JRPG +,
234,Demons with Shotguns,Bundle info,,,,,(17 reviews),"MindShaft Games, LLC","MindShaft Games, LLC",Positive,,"TITLE: Demons with Shotguns
GENRE: Action, Indie
DEVELOPER: MindShaft Games, LLC
PUBLISHER: MindShaft Games, LLC
RELEASE DATE: 25 Apr, 2016","25 Apr, 2016",Action Indie Local Co-Op 4 Player Local +,
235,Zenerchi®,,,,,,(10 reviews),Red Rocket Games,PlayFirst,Positive,,"TITLE: Zenerchi®
GENRE: Casual
DEVELOPER: Red Rocket Games
PUBLISHER: PlayFirst
RELEASE DATE: 12 Aug, 2009","12 Aug, 2009",Puzzle +,
236,Death Tractor,,,,,,(37 reviews),Exato Game Studios,Exato Game Studios,Mostly Positive,,"TITLE: Death Tractor
GENRE: Action, Casual, Indie, Simulation
DEVELOPER: Exato Game Studios
PUBLISHER: Exato Game Studios
RELEASE DATE: 29 Oct, 2015","29 Oct, 2015",Casual Action Simulation Indie Horror +,
237,Gunpowder,,,,,,(16 reviews),Rogue Rocket Games,Rogue Rocket Games,Positive,,"TITLE: Gunpowder
GENRE: Action, Casual, Indie
DEVELOPER: Rogue Rocket Games
PUBLISHER: Rogue Rocket Games
RELEASE DATE: 8 Jul, 2015","8 Jul, 2015",Puzzle Indie Casual Action +,
238,Chromadrome 2,,,,,,(21 reviews),Alpha72 Games,Alpha72 Games,Positive,,"TITLE: Chromadrome 2
GENRE: Action, Racing
DEVELOPER: Alpha72 Games
PUBLISHER: Alpha72 Games
RELEASE DATE: 9 Apr, 2007","9 Apr, 2007",Action Racing +,
239,Kagura Douchuuki,,,,,,(16 reviews),DebonosuWorks Inc.,DebonosuWorks Inc.,Positive,,"TITLE: Kagura Douchuuki
GENRE: RPG
DEVELOPER: DebonosuWorks Inc.
PUBLISHER: DebonosuWorks Inc.
RELEASE DATE: 22 Oct, 2015","22 Oct, 2015",RPG Anime Mystery Dungeon Roguelike +,
240,Flute Master,,,,,,(18 reviews),Classplash,Classplash,Positive,,"TITLE: Flute Master
GENRE: Indie
DEVELOPER: Classplash
PUBLISHER: Classplash
RELEASE DATE: 16 Jun, 2016","16 Jun, 2016",Indie Education Music Great Soundtrack 2D +,
241,Bocce Revolution,,,,,,(11 reviews),Dysotek,Dysotek,Positive,,"TITLE: Bocce Revolution
GENRE: Simulation, Sports
DEVELOPER: Dysotek
PUBLISHER: Dysotek
RELEASE DATE: 23 Oct, 2015","23 Oct, 2015",Sports Simulation Indie +,
242,Bezier,,,,,,(40 reviews),Philip Bak,Thalamus Digital,Positive,,"TITLE: Bezier
GENRE: Action, Indie
DEVELOPER: Philip Bak, NiineGames
PUBLISHER: Thalamus Digital
RELEASE DATE: 3 Mar, 2016","3 Mar, 2016",Action Indie Twin Stick Shooter Shoot 'Em Up +,
243,Dungeon Souls,Bundle info,,,,,"(1,271 reviews)",Lamina Studios,Plug In Digital,Mostly Positive,,"TITLE: Dungeon Souls
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Lamina Studios, Mike Studios
PUBLISHER: Plug In Digital
RELEASE DATE: 2 Dec, 2016","2 Dec, 2016",RPG Action Roguelike Pixel Graphics Indie +,
244,Super Rude Bear Resurrection,Bundle info,,,,,(19 reviews),Alex Rose,Alex Rose Games,Positive,,"TITLE: Super Rude Bear Resurrection
GENRE: Action, Indie
DEVELOPER: Alex Rose
PUBLISHER: Alex Rose Games
RELEASE DATE: 5 May, 2017","5 May, 2017",Indie Action Precision Platformer Difficult 2D +,
245,Umihara Kawase Shun,Package info,,,,,(47 reviews),Studio Saizensen,Degica,Positive,,"TITLE: Umihara Kawase Shun
GENRE: Action, Indie
DEVELOPER: Studio Saizensen
PUBLISHER: Degica
RELEASE DATE: 24 Nov, 2015","24 Nov, 2015",Physics Action Precision Platformer Indie 2D +,
246,STLD Redux: Episode 02,,,,,,(29 reviews),Craig Daversa,Craig Daversa,Positive,,"TITLE: STLD Redux: Episode 02
GENRE: Action, Adventure, Casual, Indie, Strategy
DEVELOPER: Craig Daversa
PUBLISHER: Craig Daversa
RELEASE DATE: 19 May, 2017","19 May, 2017",Fast-Paced Pixel Graphics Zombies Indie 2D +,
247,Puzzle Strike,,,,,,(42 reviews),Sirlin Games,Sirlin Games,Positive,,"TITLE: Puzzle Strike
GENRE: Indie, Strategy
DEVELOPER: Sirlin Games
PUBLISHER: Sirlin Games
RELEASE DATE: 21 Dec, 2015","21 Dec, 2015",Indie Strategy Board Game +,
248,Walkerman,"6,99€",,,Walkerman Prologue,,(31 reviews),ScalemaiL,Sekai Project,Positive,,"TITLE: Walkerman
GENRE: Indie
DEVELOPER: ScalemaiL
PUBLISHER: Sekai Project
RELEASE DATE: 22 May, 2017","22 May, 2017",Indie Sexual Content Violent Nudity Gore +,
249,Steel Rain,Bundle info,,,,,(43 reviews),PolarityFlow,PolarityFlow,Positive,,"TITLE: Steel Rain
GENRE: Action, Indie, RPG, Strategy
DEVELOPER: PolarityFlow, Adrian Zingg
PUBLISHER: PolarityFlow
RELEASE DATE: 3 Dec, 2015","3 Dec, 2015",Action Indie Strategy RPG Bullet Hell +,
0,Inferno 2,,,,,,(28 reviews),Radiangames,Radiangames,Positive,,"TITLE: Inferno 2
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Radiangames
PUBLISHER: Radiangames
RELEASE DATE: 29 Jul, 2015","29 Jul, 2015",Indie Action Adventure Twin Stick Shooter +,
1,Strategic Command Classic: WWI,,,,,,(18 reviews),Fury Software,Slitherine Ltd.,Mostly Positive,,"TITLE: Strategic Command Classic: WWI
GENRE: Simulation, Strategy
DEVELOPER: Fury Software
PUBLISHER: Slitherine Ltd.
RELEASE DATE: 1 Mar, 2011","1 Mar, 2011",Simulation Strategy World War I +,
2,Baseball Mogul 2015,,,,,,(27 reviews),"Sports Mogul, Inc.","Sports Mogul, Inc.",Positive,,"TITLE: Baseball Mogul 2015
GENRE: Casual, Simulation, Sports, Strategy
DEVELOPER: Sports Mogul, Inc.
PUBLISHER: Sports Mogul, Inc.
RELEASE DATE: 3 Apr, 2014","3 Apr, 2014",Sports Simulation Casual Strategy Baseball +,
3,The chronicles of Emerland. Solitaire.,Bundle info,,,,,(37 reviews),Rainbow Games,Rainbow Games,Mostly Positive,,"TITLE: The chronicles of Emerland. Solitaire.
GENRE: Casual
DEVELOPER: Rainbow Games
PUBLISHER: Rainbow Games
RELEASE DATE: 4 Oct, 2013","4 Oct, 2013",Solitaire Casual Card Game Hidden Object +,
4,Straima,Bundle info,,,,,(41 reviews),Anthony Case,Caiysware,Positive,,"TITLE: Straima
GENRE: Action, Indie
DEVELOPER: Anthony Case
PUBLISHER: Caiysware
FRANCHISE: Caiysware
RELEASE DATE: 25 Sep, 2015","25 Sep, 2015",Precision Platformer Difficult Platformer Indie +,
5,Ookibloks,,,,,,(22 reviews),Studio Work3,Skyboy Games,Positive,,"TITLE: Ookibloks
GENRE: Action, Casual, Indie
DEVELOPER: Studio Work3, Lampert & Sons, Skyboy Games
PUBLISHER: Skyboy Games
RELEASE DATE: 8 Oct, 2015","8 Oct, 2015",Indie Casual Action Soundtrack Puzzle +,
6,Perfect Universe - Play with Gravity,,,,,,(21 reviews),Will Sykes Games,Excalibur Games,Positive,,"TITLE: Perfect Universe - Play with Gravity
GENRE: Action, Indie
DEVELOPER: Will Sykes Games
PUBLISHER: Excalibur Games
RELEASE DATE: 26 Feb, 2016","26 Feb, 2016",Indie Physics Multiplayer Co-op Difficult +,
7,Asdivine Hearts,,,,,,(32 reviews),Exe Create Inc.,KEMCO,Positive,,"TITLE: Asdivine Hearts
GENRE: Adventure, Casual, Indie, RPG, Strategy
DEVELOPER: Exe Create Inc.
PUBLISHER: KEMCO
FRANCHISE: Asdivine Hearts
RELEASE DATE: 1 Feb, 2016","1 Feb, 2016",RPG Adventure Casual Indie Strategy +,
8,Strania - The Stella Machina -,,,,,,(40 reviews),G.rev Ltd.,G.rev Ltd.,Positive,,"TITLE: Strania - The Stella Machina -
GENRE: Action
DEVELOPER: G.rev Ltd.
PUBLISHER: G.rev Ltd.
RELEASE DATE: 24 Nov, 2015","24 Nov, 2015",Action Shoot 'Em Up Mechs Bullet Hell +,
9,Gravity Lab,,,,,,(35 reviews),Mark Schramm,Mark Schramm,Positive,,"TITLE: Gravity Lab
GENRE: Indie
DEVELOPER: Mark Schramm
PUBLISHER: Mark Schramm
RELEASE DATE: 21 Oct, 2016","21 Oct, 2016",Indie VR Puzzle Physics Sandbox +,
10,Swapperoo,Bundle info,,,,,(31 reviews),Fallen Tree Games Ltd,Fallen Tree Games Ltd,Positive,,"TITLE: Swapperoo
GENRE: Casual, Indie
DEVELOPER: Fallen Tree Games Ltd
PUBLISHER: Fallen Tree Games Ltd
RELEASE DATE: 18 Dec, 2015","18 Dec, 2015",Indie Casual Relaxing Minimalist Logic +,
11,Getsuei Gakuen -kou-,"22,99€",,,,,(23 reviews),Arc System Works,Arc System Works,Positive,,"TITLE: Getsuei Gakuen -kou-
GENRE: Adventure
DEVELOPER: Arc System Works
PUBLISHER: Arc System Works
RELEASE DATE: 3 Nov, 2015","3 Nov, 2015",Adventure Anime Story Rich Visual Novel +,
12,Crashnauts,,,,,,(19 reviews),Fueled By Rockets,Fueled By Rockets,Positive,,"TITLE: Crashnauts
GENRE: Action, Indie, Early Access
DEVELOPER: Fueled By Rockets
PUBLISHER: Fueled By Rockets
RELEASE DATE: 24 Jul, 2017","24 Jul, 2017",Indie Action Multiplayer Early Access Arcade +,17.0
13,Northern Tale,,,,,,(29 reviews),Realore,Qumaron,Positive,,"TITLE: Northern Tale
GENRE: Adventure, Casual, Simulation, Strategy
DEVELOPER: Realore
PUBLISHER: Qumaron
RELEASE DATE: 9 Feb, 2016","9 Feb, 2016",Casual Strategy Adventure Simulation +,
14,Choice of Kung Fu,Bundle info,,,,,(43 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Choice of Kung Fu
GENRE: Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 19 Dec, 2012","19 Dec, 2012",RPG Indie Text-Based +,
15,Deadlight: Director's Cut,,,,,,(473 reviews),Tequila Works,Deep Silver,Mostly Positive,,"TITLE: Deadlight: Director's Cut
GENRE: Action, Adventure
DEVELOPER: Tequila Works, Abstraction Games
PUBLISHER: Deep Silver
RELEASE DATE: 21 Jun, 2016","21 Jun, 2016",Action Zombies Adventure Platformer 2.5D +,
16,Fragmental,Bundle info,,,,,(19 reviews),Ruffian Games,Ruffian Games,Positive,,"TITLE: Fragmental
GENRE: Action, Indie
DEVELOPER: Ruffian Games
PUBLISHER: Ruffian Games
RELEASE DATE: 20 Dec, 2017","20 Dec, 2017",Action Indie Twin Stick Shooter Multiplayer +,
17,Little Reaper,,,,,,(11 reviews),Little Reaper Games,Little Reaper Games,Positive,,"TITLE: Little Reaper
GENRE: Adventure, Indie
DEVELOPER: Little Reaper Games
PUBLISHER: Little Reaper Games
RELEASE DATE: 20 Jul, 2020","20 Jul, 2020",Adventure Indie Platformer Collectathon 2.5D +,
18,Mystery of Unicorn Castle: The Beastmaster,Bundle info,,,,,(29 reviews),Meridian'93,1C Entertainment,Positive,,"TITLE: Mystery of Unicorn Castle: The Beastmaster
GENRE: Adventure, Casual
DEVELOPER: Meridian'93
PUBLISHER: 1C Entertainment
FRANCHISE: 1C
RELEASE DATE: Dec 2015",Dec 2015,Adventure Casual Hidden Object +,
19,Spellweaver,,,,Free to Play,,"(1,332 reviews)",Dream Reactor,Dream Reactor,Mostly Positive,,"TITLE: Spellweaver
GENRE: Free to Play, Indie, Massively Multiplayer, Strategy
DEVELOPER: Dream Reactor
PUBLISHER: Dream Reactor
RELEASE DATE: 1 Feb, 2016","1 Feb, 2016",Card Game Free to Play Strategy Indie +,
20,Small Town Terrors: Livingston,Bundle info,,,,,(11 reviews),Gunnar Games,Gunnar Games,Positive,,"TITLE: Small Town Terrors: Livingston
GENRE: Adventure, Casual
DEVELOPER: Gunnar Games
PUBLISHER: Gunnar Games
RELEASE DATE: 18 Jan, 2016","18 Jan, 2016",Adventure Casual Hidden Object Point & Click +,
21,Carpe Lucem - Seize The Light VR,"-40%
14,99€
8,99€",,,,,(31 reviews),Hammer Labs,Application Systems Heidelberg,Positive,,"TITLE: Carpe Lucem - Seize The Light VR
GENRE: Casual, Indie, Strategy
DEVELOPER: Hammer Labs
PUBLISHER: Application Systems Heidelberg
FRANCHISE: Application Systems Heidelberg
RELEASE DATE: 5 Apr, 2016","5 Apr, 2016",Casual VR Indie Strategy Puzzle Physics +,
22,Bear Haven Nights,,,,,,(31 reviews),SunRay Games,SunRay Games,Positive,,"TITLE: Bear Haven Nights
GENRE: Action, Adventure, Indie, Strategy
DEVELOPER: SunRay Games
PUBLISHER: SunRay Games
RELEASE DATE: 29 Jan, 2016","29 Jan, 2016",Strategy Indie Action Adventure Horror +,
23,Puzzle Party,,,,,,(13 reviews),Kris Patrick,Krispy Animation,Positive,,"TITLE: Puzzle Party
GENRE: Casual, Indie
DEVELOPER: Kris Patrick, Alexis Ruiz
PUBLISHER: Krispy Animation
RELEASE DATE: 15 Jun, 2020","15 Jun, 2020",Indie Casual Puzzle Horror Pixel Graphics +,
24,Onion Force,,,,,,(15 reviews),Queen Bee Games,Queen Bee Games,Positive,,"TITLE: Onion Force
GENRE: Action, Adventure, Indie, RPG, Strategy
DEVELOPER: Queen Bee Games
PUBLISHER: Queen Bee Games
RELEASE DATE: 2 Mar, 2016","2 Mar, 2016",Action Adventure Strategy Indie RPG +,
25,Incredible Dracula: Chasing Love Collector's Edition,"9,99€",,,Demo version,,(34 reviews),New Bridge Games,Alawar Entertainment,Positive,,"TITLE: Incredible Dracula: Chasing Love Collector's Edition
GENRE: Adventure, Casual, Strategy
DEVELOPER: New Bridge Games
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 29 Nov, 2015","29 Nov, 2015",Casual Strategy Adventure Time Management +,
26,Jerry Rice & Nitus' Dog Football,,,,,,(23 reviews),JUDOBABY INC.,JUDOBABY INC.,Positive,,"TITLE: Jerry Rice & Nitus' Dog Football
GENRE: Sports
DEVELOPER: JUDOBABY INC.
PUBLISHER: JUDOBABY INC.
RELEASE DATE: 16 Aug, 2011","16 Aug, 2011",Sports Memes Psychological Horror Dog +,
27,XBlaze Lost: Memories,,,,,,(18 reviews),Arc System Works,Aksys Games,Positive,,"TITLE: XBlaze Lost: Memories
GENRE: Adventure
DEVELOPER: Arc System Works
PUBLISHER: Aksys Games
RELEASE DATE: 10 Aug, 2016","10 Aug, 2016",Adventure Anime Visual Novel Cute +,
28,Auralux: Constellations,,,,,,(94 reviews),War Drum Studios,War Drum Studios,Mostly Positive,,"TITLE: Auralux: Constellations
GENRE: Casual, Indie, Strategy
DEVELOPER: War Drum Studios, E McNeill
PUBLISHER: War Drum Studios
RELEASE DATE: 1 Jun, 2016","1 Jun, 2016",Strategy Casual Indie RTS +,
29,Princess Edge - Dragonstone,,,,,,(20 reviews),erobotan,erobotan,Positive,,"TITLE: Princess Edge - Dragonstone
GENRE: Action, Indie
DEVELOPER: erobotan
PUBLISHER: erobotan
RELEASE DATE: 25 Mar, 2016","25 Mar, 2016",Action Indie Beat 'em up Female Protagonist +,
30,Blast Brawl 2,,,,,,(14 reviews),Mind's Eye Games,Mind's Eye Games,Positive,,"TITLE: Blast Brawl 2
GENRE: Action, Casual, Indie
DEVELOPER: Mind's Eye Games
PUBLISHER: Mind's Eye Games
RELEASE DATE: 26 Oct, 2016
EARLY ACCESS RELEASE DATE: 25 Oct, 2016","26 Oct, 2016",Beat 'em up Side Scroller 2D Fighter PvP 2D +,
31,Escape: Close Call,,,,,,(17 reviews),Tarboosh Games,Tarboosh Games,Positive,,"TITLE: Escape: Close Call
GENRE: Action, Casual, Indie
DEVELOPER: Tarboosh Games
PUBLISHER: Tarboosh Games
RELEASE DATE: 24 Mar, 2016","24 Mar, 2016",Action Indie Casual +,
32,Semispheres,"9,99€",,,,,(44 reviews),Vivid Helix,Vivid Helix,Positive,,"TITLE: Semispheres
GENRE: Indie, Strategy
DEVELOPER: Vivid Helix
PUBLISHER: Vivid Helix
RELEASE DATE: 14 Feb, 2017","14 Feb, 2017",Puzzle Relaxing Stealth Split Screen Co-op +,
33,"I, Hope",Bundle info,,,,,(15 reviews),Kenny Roy,++Good Games,Positive,,"TITLE: I, Hope
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Kenny Roy
PUBLISHER: ++Good Games, GameChanger Charity
RELEASE DATE: 21 Feb, 2018","21 Feb, 2018",Action Indie Casual Adventure +,
34,SPLIT BULLET,Bundle info,,,,,(45 reviews),IndigoBlue Game Studio,PsychoFlux Entertainment,Positive,,"TITLE: SPLIT BULLET
GENRE: Action, Casual, Indie
DEVELOPER: IndigoBlue Game Studio
PUBLISHER: PsychoFlux Entertainment
FRANCHISE: IndigoBlue Game Studio Anthology, PsychoFlux Presents
RELEASE DATE: 31 Oct, 2016","31 Oct, 2016",Action Indie Casual Minimalist Bullet Hell +,
35,Trillion: God of Destruction,Bundle info,,,,,(319 reviews),IDEA FACTORY,Idea Factory International,Mostly Positive,,"TITLE: Trillion: God of Destruction
GENRE: RPG, Strategy
DEVELOPER: IDEA FACTORY, COMPILE HEART, PREAPP PARTNERS
PUBLISHER: Idea Factory International
FRANCHISE: Idea Factory International
RELEASE DATE: 7 Nov, 2016","7 Nov, 2016",RPG Strategy Anime JRPG Visual Novel +,
36,Vairon's Wrath,,,,,,(11 reviews),Myoubouh Corp,Myoubouh Corp,Positive,,"TITLE: Vairon's Wrath
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Myoubouh Corp
PUBLISHER: Myoubouh Corp
RELEASE DATE: 27 May, 2016","27 May, 2016",Action Adventure Indie RPG RPGMaker +,
37,Spaceman Sparkles 3,"4,99€",,,Spaceman Sparkles 3 Demo,,(15 reviews),tjern,tjern,Positive,,"TITLE: Spaceman Sparkles 3
GENRE: Action
DEVELOPER: tjern
PUBLISHER: tjern
RELEASE DATE: 21 Mar, 2016","21 Mar, 2016",Action Space Cute Walking Simulator +,
38,A dragon girl looks up at the endless sky,,,,,,(38 reviews),DebonosuWorks Inc.,DebonosuWorks Inc.,Positive,,"TITLE: A dragon girl looks up at the endless sky
GENRE: Action, RPG
DEVELOPER: DebonosuWorks Inc.
PUBLISHER: DebonosuWorks Inc.
RELEASE DATE: 27 Oct, 2016","27 Oct, 2016",RPG Action Anime Visual Novel JRPG +,
39,Auto Age: Standoff,,,,,,(35 reviews),Phantom Compass,Phantom Compass,Positive,,"TITLE: Auto Age: Standoff
GENRE: Action, Indie
DEVELOPER: Phantom Compass
PUBLISHER: Phantom Compass
RELEASE DATE: 21 Sep, 2017","21 Sep, 2017",Combat Racing Racing Driving PvP Shooter +,
40,Super Cat Herding: Totally Awesome Edition,,,,,,(16 reviews),ZoopTEK,ZoopTEK,Positive,,"TITLE: Super Cat Herding: Totally Awesome Edition
GENRE: Casual, Indie, Simulation
DEVELOPER: ZoopTEK
PUBLISHER: ZoopTEK
RELEASE DATE: 9 Mar, 2018","9 Mar, 2018",Simulation Sandbox Physics Funny Comedy +,
41,Thorne - Son of Slaves (Ep.2),Bundle info,,,,,(46 reviews),Thorne Games,Aldorlea Games,Mostly Positive,,"TITLE: Thorne - Son of Slaves (Ep.2)
GENRE: Action, Adventure, Indie, RPG, Strategy
DEVELOPER: Thorne Games
PUBLISHER: Aldorlea Games
FRANCHISE: Thorne
RELEASE DATE: 26 Aug, 2016","26 Aug, 2016",RPGMaker Indie Action RPG Adventure +,
